POSSESSION	APPARTENANCE	MARQUE	TYPE	ANCIENNETE	PUISSANCE	CARBURANT	OPTIONS	NOTE	ENTRETIEN	KILOMETRAGE	DEPENSE	CRITERE1	CRITERE2	CRITERE3	CRITERE4	CRITERE5	SEXE	CSP
Oui	vous	BMW	Neuve	0	10CV_et_plus	Essence	Climatisation	17.00	5	5000	4500	vitesse	cout_entretien	securite	esthetique	confort	Homme	Cadre
Oui	vous	BMW	Occasion	3	8-9_CV	Essence	Airbags	18.00	3	2500	2000	esthetique	vitesse	confort	securite	cout_entretien	Homme	Cadre
Oui	societe	Peugeot	Neuve		6-7_CV	Gasoil	Climatisation	18.00	0	4000	1000	confort	esthetique	cout_entretien	securite	consommation	Femme	Cadre
Oui	vous	Autre	Neuve	11	moins_de_4CV	Essence	Autres	5.00	5	500	500	pollution	esthetique	cout_entretien	consommation	confort	Homme	Agriculteur
Oui	vous	Peugeot	Neuve	5	6-7_CV	Sans plomb	Airbags	12.00	5	2500	2000	pollution	cout_entretien	consommation	esthetique	confort	Homme	Agriculteur
Oui	vous	Renault	Occasion		4-5_CV	GPL	Airbags	17.00	10	4000	2500	cout_entretien	consommation	pollution	confort	esthetique	Homme	Agriculteur
Oui	vous	BMW	Neuve	6	8-9_CV	Essence	Airbags	14.00	3	2500	2000	esthetique	confort	securite	vitesse	pollution	Homme	
Oui	vous	Renault	Neuve	4	6-7_CV	Essence	Climatisation	15.00	2	2000	1000	esthetique	cout_entretien	confort	securite	vitesse	Homme	
Oui	vous	Citroen	Occasion	7	4-5_CV	Gasoil		12.00	1	1500	750	cout_entretien	consommation	esthetique	confort	vitesse	Homme	
Oui	vous	Ford	Occasion		4-5_CV	Gasoil	Airbags	12.00	0	2000	1000	cout_entretien	consommation	esthetique	confort	pollution	Femme	Employe
Oui	vous	Volkswagen	Neuve	0	6-7_CV	GPL	Climatisation	16.00	3	2500	1500	esthetique	cout_entretien	pollution	consommation	vitesse	Homme	Employe
Oui	vous	Renault	Occasion		6-7_CV	Essence	Autres	11.00	2	1500	1000	cout_entretien	esthetique	confort	vitesse	consommation	Homme	Employe
Oui	vous	Citroen	Occasion	5	4-5_CV	Sans plomb	Autres	11.00	1	1000	500	cout_entretien	esthetique	consommation	confort	pollution	Homme	Employe
Oui	vous	Autre	Neuve	0	6-7_CV	GPL	Climatisation	15.00	0	1500	500	confort	cout_entretien	esthetique	pollution	consommation	Femme	Employe
Oui	vous	Renault	Neuve	4	4-5_CV	Essence	Airbags	13.00	1	1500	1000	esthetique	cout_entretien	consommation	confort	pollution	Femme	Employe
Oui	vous	Opel	Neuve	2	6-7_CV	Gasoil	Climatisation	13.00	1	1000	500	esthetique	cout_entretien	consommation	confort	securite	Femme	Employe
Oui	vous	Peugeot	Neuve	0	6-7_CV	GPL	Autres	17.00	2	2000	1000	pollution	esthetique	cout_entretien	consommation	confort	Femme	Employe
Oui	vous	Citroen	Occasion			Essence		12.00	0	1000	500	esthetique	securite	confort	consommation	pollution	Femme	Employe
Oui	vous	Peugeot	Occasion	12	moins_de_4CV	Essence	Jantes alu	8.00	2	1000	1000	cout_entretien	consommation	esthetique	confort	vitesse	Homme	Ouvrier
